age,sex,race,educ,state,weight
45-65,Female,White,College graduate,WV,17
65+,Female,White,College graduate,WV,27
65+,Male,White,College graduate,WV,26
45-65,Male,White,No college degree,WV,11
45-65,Female,White,No college degree,WV,11
18-29,Female,White,College graduate,WV,19
30-44,Male,White,College graduate,WV,23
45-65,Male,White,No college degree,WV,21
45-65,Female,White,College graduate,WV,18
65+,Male,White,College graduate,WV,10
45-65,Female,White,College graduate,WV,13
30-44,Male,White,College graduate,WV,6
30-44,Female,White,No college degree,WV,8
45-65,Male,White,College graduate,WV,10
45-65,Female,White,College graduate,WV,6
45-65,Female,White,No college degree,WV,3
65+,Male,White,No college degree,WV,3
65+,Female,White,College graduate,WV,4
65+,Female,White,College graduate,WV,6
30-44,Male,White,No college degree,WV,17
30-44,Female,White,No college degree,WV,10
45-65,Male,White,College graduate,WV,42
45-65,Female,White,College graduate,WV,42
18-29,Male,White,College graduate,WV,49
30-44,Female,White,No college degree,WV,5
30-44,Male,White,No college degree,WV,7
65+,Female,White,No college degree,WV,23
45-65,Male,Black,No college degree,WV,41
45-65,Female,Black,No college degree,WV,44
45-65,Female,White,No college degree,WV,17
65+,Female,White,College graduate,WV,12
65+,Female,White,College graduate,WV,10
45-65,Male,White,No college degree,WV,14
45-65,Female,White,No college degree,WV,13
30-44,Female,White,No college degree,WV,23
45-65,Male,White,College graduate,WV,26
18-29,Female,White,College graduate,WV,17
30-44,Male,White,College graduate,WV,24
45-65,Male,White,College graduate,WV,78
65+,Female,White,College graduate,WV,11
30-44,Female,White,No college degree,WV,13
45-65,Male,White,No college degree,WV,13
30-44,Male,Hispanic/Latino,No college degree,WV,16
30-44,Female,White,No college degree,WV,19
65+,Male,White,No college degree,WV,16
65+,Female,White,College graduate,WV,20
45-65,Male,White,College graduate,WV,15
30-44,Female,White,College graduate,WV,16
18-29,Female,White,College graduate,WV,25
30-44,Male,Asian,No college degree,WV,8
18-29,Female,White,No college degree,WV,42
