age,sex,race,educ,state,weight
65+,Female,White,No college degree,SD,9
45-65,Male,White,No college degree,SD,26
45-65,Female,White,College graduate,SD,27
30-44,Male,White,College graduate,SD,2
18-29,Female,White,College graduate,SD,3
45-65,Female,White,College graduate,SD,18
45-65,Female,White,College graduate,SD,10
65+,Male,White,No college degree,SD,29
45-65,Female,White,No college degree,SD,32
18-29,Female,White,No college degree,SD,38
30-44,Male,White,College graduate,SD,5
65+,Male,White,College graduate,SD,5
45-65,Male,White,College graduate,SD,30
45-65,Female,White,College graduate,SD,21
65+,Male,White,College graduate,SD,14
18-29,Male,White,No college degree,SD,12
18-29,Female,White,No college degree,SD,7
65+,Female,White,College graduate,SD,14
30-44,Male,White,College graduate,SD,26
30-44,Female,White,College graduate,SD,27
65+,Female,White,No college degree,SD,24
65+,Male,White,No college degree,SD,22
30-44,Female,White,No college degree,SD,21
45-65,Female,White,No college degree,SD,12
45-65,Male,White,No college degree,SD,14
45-65,Male,White,College graduate,SD,4
30-44,Female,White,College graduate,SD,5
65+,Male,White,College graduate,SD,6
45-65,Male,White,No college degree,SD,20
45-65,Female,White,No college degree,SD,21
30-44,Male,White,No college degree,SD,12
30-44,Female,White,College graduate,SD,13
45-65,Male,White,No college degree,SD,13
45-65,Female,Other,No college degree,SD,6
45-65,Male,White,No college degree,SD,38
18-29,Male,White,No college degree,SD,28
45-65,Male,White,College graduate,SD,34
45-65,Female,White,College graduate,SD,17
65+,Male,White,No college degree,SD,11
65+,Female,White,No college degree,SD,12
65+,Female,White,No college degree,SD,6
45-65,Female,White,College graduate,SD,11
45-65,Male,White,No college degree,SD,16
45-65,Female,White,No college degree,SD,18
65+,Male,White,No college degree,SD,9
65+,Female,White,No college degree,SD,9
45-65,Female,White,No college degree,SD,36
18-29,Male,Other,No college degree,SD,37
65+,Female,White,No college degree,SD,13
45-65,Female,White,No college degree,SD,7
65+,Female,White,College graduate,SD,52
30-44,Male,Other,No college degree,SD,50
30-44,Female,Other,No college degree,SD,68
18-29,Male,Other,No college degree,SD,66
18-29,Male,Other,No college degree,SD,66
30-44,Male,White,No college degree,SD,38
