age,sex,race,educ,state,weight
30-44,Female,Hispanic/Latino,No college degree,WY,50
30-44,Male,White,No college degree,WY,34
18-29,Male,Hispanic/Latino,No college degree,WY,63
18-29,Male,Hispanic/Latino,No college degree,WY,5
30-44,Female,White,College graduate,WY,25
45-65,Male,White,No college degree,WY,48
45-65,Male,White,College graduate,WY,38
45-65,Female,White,College graduate,WY,32
30-44,Female,Hispanic/Latino,No college degree,WY,5
30-44,Male,Hispanic/Latino,College graduate,WY,5
18-29,Female,Hispanic/Latino,No college degree,WY,7
18-29,Female,Hispanic/Latino,No college degree,WY,7
30-44,Female,White,College graduate,WY,34
45-65,Male,White,College graduate,WY,18
65+,Female,White,College graduate,WY,31
30-44,Male,White,No college degree,WY,8
45-65,Male,White,No college degree,WY,10
18-29,Female,White,No college degree,WY,6
65+,Male,Hispanic/Latino,College graduate,WY,14
65+,Female,Hispanic/Latino,College graduate,WY,5
45-65,Female,White,No college degree,WY,19
18-29,Male,White,No college degree,WY,29
65+,Female,White,No college degree,WY,24
65+,Male,White,No college degree,WY,22
65+,Female,White,No college degree,WY,3
30-44,Female,White,College graduate,WY,31
30-44,Male,Other,No college degree,WY,28
45-65,Female,White,No college degree,WY,3
18-29,Male,Hispanic/Latino,No college degree,WY,48
65+,Male,White,College graduate,WY,53
65+,Female,White,College graduate,WY,66
65+,Female,White,No college degree,WY,21
30-44,Male,White,No college degree,WY,6
45-65,Female,White,No college degree,WY,4
45-65,Male,White,No college degree,WY,7
45-65,Male,White,No college degree,WY,21
45-65,Female,White,No college degree,WY,16
45-65,Female,Other,No college degree,WY,8
45-65,Female,White,No college degree,WY,22
45-65,Male,White,No college degree,WY,17
65+,Female,White,No college degree,WY,19
45-65,Female,White,College graduate,WY,4
45-65,Male,White,College graduate,WY,7
45-65,Male,White,No college degree,WY,6
18-29,Female,White,No college degree,WY,27
45-65,Female,White,No college degree,WY,28
45-65,Female,White,No college degree,WY,14
45-65,Male,White,No college degree,WY,16
18-29,Male,White,No college degree,WY,20
45-65,Male,White,No college degree,WY,40
45-65,Female,White,No college degree,WY,2
65+,Male,White,No college degree,WY,2
18-29,Male,White,No college degree,WY,19
18-29,Female,White,No college degree,WY,22
65+,Male,White,No college degree,WY,8
65+,Female,White,College graduate,WY,48
65+,Male,White,College graduate,WY,48
30-44,Male,White,No college degree,WY,18
30-44,Female,White,College graduate,WY,22
45-65,Female,White,No college degree,WY,21
30-44,Male,White,No college degree,WY,24
30-44,Female,White,No college degree,WY,10
18-29,Female,Other,No college degree,WY,12
45-65,Male,White,No college degree,WY,3
45-65,Female,Other,No college degree,WY,1
18-29,Female,White,College graduate,WY,11
18-29,Male,White,No college degree,WY,14
18-29,Male,White,No college degree,WY,3
45-65,Male,White,No college degree,WY,24
