age,sex,race,educ,state,weight
65+,Male,White,No college degree,NE,7
45-65,Male,White,College graduate,NE,22
45-65,Female,White,College graduate,NE,25
45-65,Male,Black,No college degree,NE,2
45-65,Female,White,No college degree,NE,3
65+,Male,White,No college degree,NE,3
65+,Female,White,College graduate,NE,15
65+,Female,White,No college degree,NE,3
65+,Male,White,No college degree,NE,2
65+,Male,White,College graduate,NE,61
65+,Female,White,College graduate,NE,59
18-29,Male,Asian,No college degree,NE,102
45-65,Female,Asian,College graduate,NE,12
30-44,Male,Asian,College graduate,NE,18
45-65,Female,Asian,No college degree,NE,23
30-44,Female,White,No college degree,NE,2
30-44,Male,White,No college degree,NE,3
18-29,Female,White,College graduate,NE,20
18-29,Male,White,College graduate,NE,18
30-44,Female,Black,No college degree,NE,59
18-29,Female,Black,No college degree,NE,74
65+,Male,White,College graduate,NE,18
65+,Female,White,College graduate,NE,15
45-65,Male,White,College graduate,NE,6
30-44,Male,White,No college degree,NE,20
30-44,Female,White,No college degree,NE,15
18-29,Female,Asian,No college degree,NE,19
18-29,Male,White,No college degree,NE,64
18-29,Female,White,College graduate,NE,70
65+,Female,White,No college degree,NE,31
65+,Male,White,College graduate,NE,22
65+,Female,White,No college degree,NE,18
30-44,Female,White,No college degree,NE,17
30-44,Male,White,No college degree,NE,13
45-65,Female,White,No college degree,NE,58
45-65,Female,White,College graduate,NE,19
45-65,Male,White,College graduate,NE,18
18-29,Male,White,No college degree,NE,18
65+,Female,White,No college degree,NE,7
45-65,Male,White,No college degree,NE,13
45-65,Female,White,No college degree,NE,12
45-65,Female,White,College graduate,NE,20
30-44,Male,White,No college degree,NE,32
30-44,Female,White,College graduate,NE,39
18-29,Female,White,No college degree,NE,8
18-29,Male,White,No college degree,NE,32
18-29,Female,White,No college degree,NE,36
45-65,Male,White,No college degree,NE,25
30-44,Female,White,College graduate,NE,24
18-29,Male,White,No college degree,NE,6
45-65,Male,White,No college degree,NE,56
45-65,Female,White,No college degree,NE,55
18-29,Male,White,No college degree,NE,67
65+,Male,White,College graduate,NE,6
30-44,Female,White,College graduate,NE,10
30-44,Male,White,No college degree,NE,12
65+,Female,White,No college degree,NE,31
45-65,Male,White,No college degree,NE,36
45-65,Female,White,No college degree,NE,6
45-65,Male,White,College graduate,NE,6
18-29,Male,White,No college degree,NE,18
30-44,Male,White,No college degree,NE,21
30-44,Female,White,College graduate,NE,22
18-29,Male,White,No college degree,NE,23
45-65,Female,White,No college degree,NE,11
45-65,Male,White,No college degree,NE,8
45-65,Female,White,No college degree,NE,14
30-44,Male,White,No college degree,NE,22
65+,Male,White,No college degree,NE,19
65+,Female,White,No college degree,NE,18
65+,Male,White,No college degree,NE,4
65+,Male,White,No college degree,NE,7
65+,Female,White,No college degree,NE,13
45-65,Female,White,No college degree,NE,9
65+,Male,White,No college degree,NE,6
45-65,Female,White,No college degree,NE,20
65+,Female,White,No college degree,NE,16
45-65,Male,White,No college degree,NE,18
45-65,Female,White,No college degree,NE,5
65+,Female,White,No college degree,NE,6
45-65,Female,White,No college degree,NE,8
45-65,Male,White,College graduate,NE,24
65+,Male,White,No college degree,NE,44
45-65,Female,White,No college degree,NE,51
45-65,Male,White,No college degree,NE,2
45-65,Female,White,College graduate,NE,3
45-65,Female,White,No college degree,NE,3
45-65,Male,White,No college degree,NE,3
30-44,Male,White,College graduate,NE,3
18-29,Male,White,College graduate,NE,26
30-44,Male,Hispanic/Latino,No college degree,NE,16
18-29,Female,Hispanic/Latino,No college degree,NE,12
45-65,Male,Hispanic/Latino,No college degree,NE,10
45-65,Female,Hispanic/Latino,No college degree,NE,19
65+,Male,White,No college degree,NE,2
18-29,Female,White,No college degree,NE,13
30-44,Male,White,No college degree,NE,6
45-65,Female,White,No college degree,NE,20
45-65,Male,White,No college degree,NE,19
18-29,Male,White,No college degree,NE,28
18-29,Female,White,No college degree,NE,19
18-29,Female,White,No college degree,NE,19
45-65,Female,White,College graduate,NE,32
45-65,Male,White,College graduate,NE,32
45-65,Male,White,College graduate,NE,9
45-65,Female,White,College graduate,NE,5
65+,Female,White,College graduate,NE,12
45-65,Male,White,No college degree,NE,31
45-65,Female,White,No college degree,NE,32
45-65,Male,White,No college degree,NE,8
65+,Female,White,No college degree,NE,6
65+,Female,White,No college degree,NE,3
30-44,Female,White,No college degree,NE,3
30-44,Male,White,No college degree,NE,96
30-44,Female,White,College graduate,NE,104
30-44,Male,White,No college degree,NE,16
18-29,Male,White,College graduate,NE,18
65+,Female,White,No college degree,NE,5
65+,Female,White,No college degree,NE,3
45-65,Female,White,No college degree,NE,4
65+,Female,White,No college degree,NE,5
65+,Female,Black,No college degree,NE,11
45-65,Male,Hispanic/Latino,No college degree,NE,67
30-44,Female,Hispanic/Latino,No college degree,NE,65
18-29,Female,Hispanic/Latino,No college degree,NE,37
30-44,Male,White,No college degree,NE,50
45-65,Male,White,No college degree,NE,21
45-65,Female,White,No college degree,NE,22
30-44,Female,White,No college degree,NE,29
45-65,Male,White,No college degree,NE,19
65+,Male,White,College graduate,NE,37
30-44,Female,White,No college degree,NE,4
18-29,Male,White,No college degree,NE,6
45-65,Female,White,No college degree,NE,4
45-65,Male,White,No college degree,NE,5
30-44,Female,White,No college degree,NE,5
30-44,Male,Hispanic/Latino,No college degree,NE,7
45-65,Male,White,College graduate,NE,4
45-65,Female,White,College graduate,NE,3
30-44,Male,White,No college degree,NE,7
30-44,Female,White,No college degree,NE,8
65+,Female,White,No college degree,NE,3
30-44,Female,White,College graduate,NE,5
30-44,Male,White,No college degree,NE,6
30-44,Male,White,College graduate,NE,51
30-44,Female,White,College graduate,NE,48
45-65,Male,White,College graduate,NE,21
