age,sex,race,educ,state,weight
65+,Male,White,College graduate,NH,6
65+,Female,White,No college degree,NH,5
45-65,Female,White,No college degree,NH,15
45-65,Male,White,No college degree,NH,11
18-29,Male,White,No college degree,NH,14
45-65,Female,White,No college degree,NH,15
45-65,Male,White,No college degree,NH,15
30-44,Female,White,No college degree,NH,18
30-44,Male,White,No college degree,NH,20
45-65,Female,White,No college degree,NH,14
45-65,Female,White,No college degree,NH,13
45-65,Female,White,No college degree,NH,14
45-65,Male,White,No college degree,NH,13
30-44,Male,White,College graduate,NH,25
30-44,Female,White,No college degree,NH,23
45-65,Female,White,No college degree,NH,60
45-65,Male,White,College graduate,NH,64
45-65,Female,White,No college degree,NH,94
45-65,Male,White,No college degree,NH,104
65+,Female,White,No college degree,NH,97
45-65,Male,White,No college degree,NH,14
45-65,Female,White,No college degree,NH,16
18-29,Female,White,No college degree,NH,28
65+,Male,White,No college degree,NH,17
65+,Male,White,No college degree,NH,16
65+,Female,White,No college degree,NH,15
45-65,Female,White,No college degree,NH,25
45-65,Male,White,College graduate,NH,15
45-65,Female,White,No college degree,NH,18
18-29,Female,Black,No college degree,NH,31
18-29,Female,White,No college degree,NH,20
30-44,Male,White,College graduate,NH,15
65+,Male,White,College graduate,NH,5
65+,Female,White,College graduate,NH,4
18-29,Male,White,No college degree,NH,14
18-29,Male,White,No college degree,NH,14
45-65,Male,White,College graduate,NH,28
45-65,Female,White,No college degree,NH,31
45-65,Male,White,No college degree,NH,10
45-65,Male,White,College graduate,NH,16
45-65,Female,White,No college degree,NH,16
18-29,Male,White,No college degree,NH,18
18-29,Female,White,College graduate,NH,16
65+,Female,White,College graduate,NH,17
65+,Male,White,College graduate,NH,22
45-65,Male,White,No college degree,NH,33
45-65,Female,White,No college degree,NH,33
65+,Male,White,No college degree,NH,32
45-65,Female,Asian,No college degree,NH,17
30-44,Male,White,No college degree,NH,35
30-44,Female,Other,No college degree,NH,29
45-65,Female,White,College graduate,NH,34
45-65,Male,White,College graduate,NH,37
45-65,Male,White,No college degree,NH,31
30-44,Female,White,College graduate,NH,23
45-65,Female,Hispanic/Latino,No college degree,NH,13
45-65,Male,White,College graduate,NH,7
30-44,Female,White,College graduate,NH,11
65+,Female,White,No college degree,NH,15
18-29,Female,White,No college degree,NH,9
45-65,Female,White,College graduate,NH,4
65+,Female,White,No college degree,NH,4
45-65,Female,White,No college degree,NH,14
45-65,Male,White,No college degree,NH,15
45-65,Female,White,No college degree,NH,23
45-65,Male,White,No college degree,NH,31
18-29,Female,White,No college degree,NH,36
45-65,Male,White,No college degree,NH,37
65+,Female,White,College graduate,NH,28
18-29,Female,Other,No college degree,NH,15
30-44,Male,White,No college degree,NH,90
45-65,Female,White,No college degree,NH,71
65+,Male,White,College graduate,NH,23
65+,Female,White,College graduate,NH,22
30-44,Female,White,No college degree,NH,30
30-44,Female,White,College graduate,NH,3
30-44,Male,White,College graduate,NH,3
65+,Female,Hispanic/Latino,College graduate,NH,13
45-65,Male,White,College graduate,NH,27
65+,Female,White,College graduate,NH,14
45-65,Male,White,No college degree,NH,15
45-65,Male,White,College graduate,NH,31
65+,Female,White,No college degree,NH,10
65+,Male,White,No college degree,NH,11
45-65,Male,White,No college degree,NH,23
