age,sex,race,educ,state,weight
30-44,Male,White,College graduate,AK,9
18-29,Female,White,College graduate,AK,13
65+,Female,White,No college degree,AK,75
65+,Male,White,No college degree,AK,38
65+,Female,Other,No college degree,AK,15
18-29,Female,White,No college degree,AK,23
30-44,Male,White,College graduate,AK,23
45-65,Male,Other,No college degree,AK,30
45-65,Female,Other,No college degree,AK,29
45-65,Female,White,No college degree,AK,78
18-29,Female,White,College graduate,AK,9
30-44,Male,Black,No college degree,AK,16
45-65,Male,White,No college degree,AK,9
45-65,Female,White,No college degree,AK,20
45-65,Male,Hispanic/Latino,No college degree,AK,33
45-65,Female,Hispanic/Latino,No college degree,AK,13
45-65,Female,Other,No college degree,AK,24
65+,Male,Other,No college degree,AK,10
30-44,Male,White,College graduate,AK,47
45-65,Female,Hispanic/Latino,No college degree,AK,5
45-65,Male,White,No college degree,AK,23
30-44,Female,White,College graduate,AK,14
30-44,Male,White,No college degree,AK,14
45-65,Female,White,No college degree,AK,10
18-29,Male,White,No college degree,AK,13
18-29,Female,Other,College graduate,AK,20
45-65,Male,White,No college degree,AK,18
45-65,Female,White,No college degree,AK,15
45-65,Male,White,No college degree,AK,12
30-44,Female,Other,No college degree,AK,17
30-44,Male,White,College graduate,AK,25
30-44,Female,White,No college degree,AK,24
45-65,Male,Other,No college degree,AK,10
45-65,Female,Other,No college degree,AK,5
45-65,Female,White,College graduate,AK,14
65+,Male,White,No college degree,AK,1
30-44,Female,White,No college degree,AK,2
30-44,Male,Hispanic/Latino,No college degree,AK,1
65+,Male,White,No college degree,AK,2
45-65,Female,White,College graduate,AK,3
65+,Male,White,No college degree,AK,7
45-65,Female,White,No college degree,AK,2
45-65,Male,White,No college degree,AK,14
45-65,Female,Hispanic/Latino,No college degree,AK,15
45-65,Male,Other,No college degree,AK,10
65+,Male,White,No college degree,AK,2
18-29,Male,Other,No college degree,AK,13
45-65,Female,White,College graduate,AK,21
65+,Male,White,College graduate,AK,26
65+,Male,White,No college degree,AK,140
65+,Female,Hispanic/Latino,No college degree,AK,91
18-29,Female,White,No college degree,AK,34
18-29,Male,White,No college degree,AK,13
45-65,Male,Other,No college degree,AK,4
45-65,Male,Other,No college degree,AK,9
