age,sex,race,educ,state,weight
65+,Male,White,No college degree,NM,15
45-65,Female,White,No college degree,NM,16
30-44,Male,Hispanic/Latino,No college degree,NM,12
30-44,Male,Other,No college degree,NM,12
18-29,Male,White,No college degree,NM,19
65+,Male,Hispanic/Latino,No college degree,NM,21
45-65,Male,White,No college degree,NM,7
18-29,Female,Other,No college degree,NM,8
18-29,Female,Hispanic/Latino,No college degree,NM,1
18-29,Female,Hispanic/Latino,No college degree,NM,5
18-29,Male,Hispanic/Latino,No college degree,NM,1
30-44,Male,White,No college degree,NM,23
18-29,Female,Hispanic/Latino,No college degree,NM,43
18-29,Male,Black,No college degree,NM,38
45-65,Male,White,No college degree,NM,4
18-29,Female,Asian,No college degree,NM,12
45-65,Female,Hispanic/Latino,No college degree,NM,3
18-29,Female,Hispanic/Latino,No college degree,NM,3
18-29,Female,White,No college degree,NM,5
30-44,Male,Hispanic/Latino,No college degree,NM,3
30-44,Male,White,No college degree,NM,5
65+,Male,White,College graduate,NM,9
65+,Female,White,No college degree,NM,1
65+,Female,White,No college degree,NM,11
45-65,Male,Hispanic/Latino,No college degree,NM,17
18-29,Male,White,No college degree,NM,24
45-65,Male,Hispanic/Latino,No college degree,NM,9
30-44,Male,Other,No college degree,NM,28
30-44,Male,Hispanic/Latino,No college degree,NM,19
18-29,Male,White,No college degree,NM,6
18-29,Male,Hispanic/Latino,No college degree,NM,10
18-29,Female,Hispanic/Latino,No college degree,NM,3
18-29,Male,Hispanic/Latino,No college degree,NM,15
30-44,Male,White,No college degree,NM,31
65+,Female,Hispanic/Latino,No college degree,NM,19
30-44,Male,White,No college degree,NM,11
30-44,Male,Black,No college degree,NM,2
65+,Female,Black,No college degree,NM,15
18-29,Male,Hispanic/Latino,College graduate,NM,17
65+,Male,White,No college degree,NM,23
18-29,Male,White,No college degree,NM,2
18-29,Female,Hispanic/Latino,No college degree,NM,17
65+,Female,Hispanic/Latino,No college degree,NM,29
45-65,Male,Hispanic/Latino,No college degree,NM,14
18-29,Male,Asian,No college degree,NM,28
45-65,Male,Other,No college degree,NM,20
18-29,Male,Hispanic/Latino,No college degree,NM,2
18-29,Male,Hispanic/Latino,No college degree,NM,9
30-44,Male,Hispanic/Latino,No college degree,NM,15
18-29,Male,Other,No college degree,NM,1
18-29,Female,Hispanic/Latino,No college degree,NM,17
65+,Male,White,No college degree,NM,15
45-65,Male,White,No college degree,NM,17
18-29,Female,White,No college degree,NM,2
30-44,Female,White,No college degree,NM,9
30-44,Male,Hispanic/Latino,No college degree,NM,1
18-29,Male,Black,No college degree,NM,16
