age,sex,race,educ,state,weight
18-29,Male,Hispanic/Latino,No college degree,VT,17
18-29,Female,White,No college degree,VT,6
18-29,Female,White,No college degree,VT,6
18-29,Female,White,No college degree,VT,7
18-29,Female,White,No college degree,VT,36
65+,Male,White,No college degree,VT,4
18-29,Female,White,No college degree,VT,4
65+,Male,White,No college degree,VT,3
65+,Female,White,No college degree,VT,3
18-29,Female,White,No college degree,VT,11
65+,Female,White,No college degree,VT,16
18-29,Male,White,No college degree,VT,23
18-29,Female,White,No college degree,VT,25
18-29,Male,White,No college degree,VT,19
65+,Male,White,No college degree,VT,8
45-65,Female,White,No college degree,VT,11
18-29,Female,White,No college degree,VT,24
18-29,Female,White,No college degree,VT,2
18-29,Male,White,No college degree,VT,1
18-29,Female,Black,No college degree,VT,10
18-29,Male,White,No college degree,VT,17
65+,Female,White,No college degree,VT,4
18-29,Male,Other,No college degree,VT,14
65+,Male,White,No college degree,VT,4
18-29,Male,White,No college degree,VT,4
18-29,Male,White,No college degree,VT,9
65+,Male,White,No college degree,VT,16
30-44,Male,White,No college degree,VT,5
65+,Female,White,No college degree,VT,3
65+,Female,White,No college degree,VT,3
65+,Female,White,No college degree,VT,2
18-29,Male,White,No college degree,VT,12
18-29,Female,White,No college degree,VT,17
18-29,Female,White,No college degree,VT,19
65+,Female,White,No college degree,VT,5
18-29,Male,White,No college degree,VT,16
18-29,Male,White,No college degree,VT,20
18-29,Female,White,No college degree,VT,1
18-29,Female,Hispanic/Latino,No college degree,VT,1
65+,Male,White,No college degree,VT,7
18-29,Male,White,No college degree,VT,11
30-44,Male,White,No college degree,VT,13
18-29,Male,White,No college degree,VT,1
18-29,Male,White,No college degree,VT,3
65+,Female,White,No college degree,VT,23
45-65,Male,White,No college degree,VT,6
18-29,Male,White,No college degree,VT,18
18-29,Male,Black,No college degree,VT,1
18-29,Male,White,No college degree,VT,15
65+,Female,White,No college degree,VT,3
18-29,Female,White,No college degree,VT,2
18-29,Female,Hispanic/Latino,No college degree,VT,29
65+,Male,White,College graduate,VT,4
18-29,Female,White,No college degree,VT,4
65+,Female,White,No college degree,VT,8
18-29,Female,White,No college degree,VT,3
18-29,Male,White,No college degree,VT,9
18-29,Female,White,No college degree,VT,14
18-29,Female,White,No college degree,VT,21
18-29,Female,White,No college degree,VT,13
