state,dem_votes,total_votes,rep_votes,dem_share,rep_share
DC,267070,293764,21381,0.9091311392818725,0.072782914
HI,306658,437159,121015,0.7014793244563191,0.2768214768539593
VT,199239,299290,92698,0.665705503,0.3097263523672692
RI,279677,446049,157204,0.627009589,0.35243661570813967
MD,1677844,2707327,971869,0.6197419077931849,0.3589773233894539
NY,4324228,7116784,2223397,0.6076098417487449,0.312415973
MA,1921290,3184196,1188314,0.6033830832021647,0.37319122315334863
CA,7854285,13038547,4839958,0.6023895914168964,0.371203785
DE,242584,413890,165484,0.5861074198458528,0.39982604073546113
NJ,2122786,3638499,1478088,0.5834235491063761,0.4062356482714438
CT,905083,1558204,634892,0.5808501325885442,0.4074511424691504
IL,3019512,5242014,2135216,0.5760213536247709,0.407327413
WA,1755396,3125516,1290670,0.5616339829967276,0.4129462143210913
ME,401306,724758,292276,0.5537103419348252,0.40327392039825705
OR,970488,1789270,754175,0.542393267,0.42149871176513326
MI,2564569,4730961,2115256,0.5420820421051875,0.4471091602742022
NM,415335,783758,335788,0.5299276052046678,0.4284332663909013
WI,1620985,3071434,1410966,0.5277616253515459,0.4593834671361976
NV,531373,1014918,463567,0.5235624947040056,0.4567531564126363
PA,2990274,5742040,2680434,0.520768577,0.46680866033674445
IA,822544,1582180,730617,0.5198801653414908,0.46177868510536096
NH,369561,710972,329918,0.5197968415071198,0.4640379649268888
CO,1323101,2569516,1185243,0.5149222655161517,0.4612709163904798
VA,1971820,3854489,1822522,0.5115645679621864,0.4728310289638912
OH,2827621,5580822,2661407,0.5066674765831987,0.47688440878422567
FL,4237756,8474179,4163447,0.5000786506869869,0.49130977761975525
NC,2178391,4505372,2270395,0.48350968577067555,0.5039306410214295
GA,1773827,3897839,2078688,0.45507959666882086,0.5332924217752452
AZ,1025232,2299254,1233654,0.44589766941799386,0.536545332
MO,1223796,2757323,1482440,0.4438348354545333,0.5376374113587709
SC,865941,1964118,1071645,0.4408803340736147,0.5456113125586141
IN,1152887,2624534,1420543,0.43927302904058396,0.5412553238022445
MS,562949,1285584,710746,0.4378935954398935,0.5528584674358112
MT,201839,484048,267928,0.41698137374805805,0.553515354
TX,3308124,7993851,4569843,0.41383358283760857,0.5716697746805639
AK,122640,300495,164676,0.40812659112464433,0.5480157739729447
LA,809141,1994065,1152262,0.4057746362330215,0.5778457572847425
SD,145039,363815,210610,0.3986614075835246,0.5788931187554114
TN,960709,2458577,1462330,0.39075814993795194,0.5947871471993759
ND,124966,322932,188320,0.38697310888979725,0.5831568255855722
AL,795696,2074338,1255925,0.3835903309875247,0.6054582232982282
NE,302081,794379,475064,0.38027314417928976,0.5980319217904804
KS,440726,1159971,692634,0.3799457055391902,0.5971132036921613
KY,679370,1797212,1087190,0.37801327834445797,0.6049314159932162
AR,394409,1069468,647744,0.36878990301720105,0.6056693608410911
WV,238269,670438,417655,0.3553930415638732,0.6229584241943327
OK,443547,1334872,891325,0.3322768025698344,0.6677231974301656
ID,212787,652274,420911,0.3262233355920978,0.6452978349589283
WY,69286,250701,170962,0.2763690611525283,0.6819358518713527
UT,251813,1017440,740600,0.2474966582796037,0.727905331
MN,,,,0.5265,0.4496
